sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file,state_source,synthetic_id,TDS_source,wqi,wqi_category,risk_level,risk_band,risk_basis,eclipsed,wqi_n_params,wqi_confidence,dominant_driver,n_exceedances,permissible_breaches
,W195400073490001,Maharashtra,Nashik,NASHIK,Deolali,19.9,73.8167,2019,7.1,225.0,0.0,65.0,34.0,22.0,47.0,,100.0,20.0,12.0,23.0,3.03,0.36,,146.0,,,,2019,cgwb_2021.pdf,reported,False,measured,38.17,Excellent,High,Low,exceedance_override,True,7,High,NO3,1,1
,W203230073493801,Maharashtra,Nashik,KALWAN,Dalwat,20.5417,73.8272,2019,7.6,704.0,0.0,137.0,114.0,43.0,41.0,,265.0,45.0,36.0,29.0,16.2,0.63,,458.0,,,,2019,cgwb_2021.pdf,reported,False,measured,66.1,Good,Low,Low,wqi_band,False,7,High,NO3,1,0
,W203950074404001,Maharashtra,Nashik,MALEGAON,Jhodga,20.6639,74.6778,2019,7.9,1698.0,0.0,369.0,77.0,32.0,44.0,,311.0,69.0,33.0,92.0,1.17,0.97,,1104.0,,,,2019,cgwb_2021.pdf,reported,False,measured,94.98,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W162240073411501,Maharashtra,Nashik,NANDGAON,Nandgaon,20.3083,74.6583,2019,7.6,1251.0,0.0,250.0,62.0,59.0,49.0,,197.0,27.0,31.0,78.0,6.38,1.02,,813.0,,,,2019,cgwb_2021.pdf,reported,False,measured,83.49,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
,W201530074260401,Maharashtra,Nashik,NANDGAON,Manmad-1,20.2583,74.4344,2019,7.5,1224.0,0.0,309.0,52.0,92.0,41.0,,388.0,25.0,78.0,33.0,1.1,1.14,,796.0,,,,2019,cgwb_2021.pdf,reported,False,measured,90.0,Good,Medium,Low,exceedance_override,True,7,High,TH,3,0
,SYN|Maharashtra|Nashik|Deola-1|20.464|74.184,Maharashtra,Nashik,KALWAN,Deola-1,20.4639,74.1839,2019,7.6,1227.0,0.0,244.0,42.0,82.0,39.0,,286.0,37.0,46.0,67.0,5.89,0.48,,798.0,,,,2019,cgwb_2021.pdf,reported,True,measured,73.04,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W204656074083001,Maharashtra,Nashik,BAGLAN,Toharabad-1,20.7822,74.1417,2019,7.6,1247.0,0.0,190.0,109.0,42.0,36.0,,247.0,45.0,32.0,56.0,1.01,0.62,,811.0,,,,2019,cgwb_2021.pdf,reported,False,measured,73.36,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W204358074185601,Maharashtra,Nashik,BAGLAN,Nampur-1,20.7328,74.3156,2019,7.9,1397.0,0.0,214.0,17.0,36.0,47.0,,235.0,65.0,17.0,42.0,1.2,0.38,,908.0,,,,2019,cgwb_2021.pdf,reported,False,measured,74.3,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
,W202519074210001,Maharashtra,Nashik,MALEGAON,Umrane-1,20.4219,74.35,2019,7.4,2005.0,0.0,410.0,161.0,36.0,42.0,,419.0,133.0,21.0,103.0,4.02,0.43,,1303.0,,,,2019,cgwb_2021.pdf,reported,False,measured,93.15,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W204733074121201,Maharashtra,Nashik,BAGLAN,Jaikheda,20.7925,74.2033,2019,7.9,4190.0,0.0,940.0,588.0,50.0,48.0,,1097.0,166.0,163.0,147.0,2.89,0.5,,2724.0,,,,2019,cgwb_2021.pdf,reported,False,measured,189.08,Poor,High,Medium,exceedance_override,True,7,High,TH,4,3
,W203000073553201,Maharashtra,Nashik,KALWAN,Gosrane,20.5,73.9256,2019,7.6,646.0,0.0,71.0,69.0,62.0,47.0,,209.0,20.0,38.0,22.0,0.81,1.26,,420.0,,,,2019,cgwb_2021.pdf,reported,False,measured,76.45,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
,W203339073382201,Maharashtra,Nashik,SURGANA,Surgana-1,20.5608,73.6394,2019,7.5,359.0,0.0,54.0,25.0,24.0,22.0,,90.0,16.0,12.0,10.0,0.24,0.44,,233.0,,,,2019,cgwb_2021.pdf,reported,False,measured,35.27,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
,W202933074021801,Maharashtra,Nashik,KALWAN,Kalwan,20.4925,74.0383,2019,7.7,1633.0,0.0,327.0,87.0,176.0,41.0,,413.0,86.0,47.0,82.0,1.37,0.55,,1061.0,,,,2019,cgwb_2021.pdf,reported,False,measured,97.61,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W202127074274001,Maharashtra,Nashik,MALEGAON,Savargaon,20.3575,74.4611,2019,7.5,531.0,0.0,232.0,34.0,13.0,4.0,,184.0,53.0,12.0,47.0,5.26,0.9,,345.0,,,,2019,cgwb_2021.pdf,reported,False,measured,42.76,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
,SYN|Maharashtra|Nashik|Baragaon Pim|19.845|74.083,Maharashtra,Nashik,SINNAR,Baragaon Pimpri,19.8447,74.0833,2019,7.8,1834.0,0.0,297.0,121.0,70.0,48.0,,520.0,53.0,92.0,35.0,2.01,0.69,,1192.0,,,,2019,cgwb_2021.pdf,reported,True,measured,105.57,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
,W200611074133201,Maharashtra,Nashik,NIPHAD,Vinchur-1,20.1031,74.2256,2019,7.9,386.0,0.0,48.0,35.0,37.0,13.0,,102.0,29.0,7.0,22.0,4.09,0.41,,251.0,,,,2019,cgwb_2021.pdf,reported,False,measured,37.34,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
,W200313074220501,Maharashtra,Nashik,YEVLA,Purangaon-Jalgaon,20.0536,74.3681,2019,7.8,4444.0,0.0,553.0,717.0,12.0,54.0,,959.0,225.0,95.0,166.0,1.6,0.4,,2889.0,,,,2019,cgwb_2021.pdf,reported,False,measured,191.4,Poor,High,Medium,exceedance_override,True,7,High,TDS,4,3
,W200041073474501,Maharashtra,Nashik,NASHIK,Nashik_city-I,20.0114,73.7958,2019,7.7,975.0,0.0,375.0,94.0,58.0,43.0,,214.0,63.0,13.0,113.0,1.25,0.76,,634.0,,,,2019,cgwb_2021.pdf,reported,False,measured,73.87,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W195858073481501,Maharashtra,Nashik,NASHIK,Nashik_city-II,19.9828,73.8042,2019,7.8,608.0,0.0,65.0,45.0,25.0,49.0,,123.0,45.0,3.0,16.0,2.22,0.45,,395.0,,,,2019,cgwb_2021.pdf,reported,False,measured,56.51,Good,High,Low,exceedance_override,True,7,High,NO3,1,1
,W200848073340601,Maharashtra,Nashik,PEINT,Pate,20.1467,73.5683,2019,7.7,396.0,0.0,65.0,17.0,11.0,37.0,,69.0,20.0,4.0,16.0,0.77,0.39,,257.0,,,,2019,cgwb_2021.pdf,reported,False,measured,41.1,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
,W195720073364601,Maharashtra,Nashik,NASHIK,Wadholi,19.9556,73.6128,2019,7.6,661.0,0.0,83.0,74.0,53.0,47.0,,135.0,39.0,9.0,53.0,8.43,0.78,,430.0,,,,2019,cgwb_2021.pdf,reported,False,measured,64.67,Good,High,Low,exceedance_override,True,7,High,NO3,1,1
,W194814074145601,Maharashtra,Nashik,SINNAR,Vavi-1,19.8039,74.2489,2019,7.5,2712.0,0.0,464.0,136.0,29.0,37.0,,394.0,94.0,38.0,104.0,1.12,1.0,,1763.0,,,,2019,cgwb_2021.pdf,reported,False,measured,113.71,Poor,Medium,Medium,wqi_band,False,7,High,TDS,2,0
,W195028074063501,Maharashtra,Nashik,SINNAR,Khopdi Bk,19.8411,74.1097,2019,7.9,3356.0,0.0,1118.0,213.0,51.0,5.0,,1127.0,104.0,207.0,115.0,1.6,1.2,,2181.0,,,,2019,cgwb_2021.pdf,reported,False,measured,152.78,Poor,Medium,Medium,wqi_band,False,7,High,TDS,3,2
,SYN|Maharashtra|Nashik|Pathre Bk|19.830|74.336,Maharashtra,Nashik,SINNAR,Pathre Bk,19.8297,74.3356,2019,7.9,769.0,0.0,125.0,72.0,7.0,47.0,,199.0,45.0,21.0,16.0,1.72,0.77,,500.0,,,,2019,cgwb_2021.pdf,reported,True,measured,68.39,Good,High,Low,exceedance_override,True,7,High,NO3,1,1
,W194648074105601,Maharashtra,Nashik,SINNAR,Marhal Kh,19.78,74.1822,2019,7.9,694.0,0.0,89.0,22.0,24.0,38.0,,98.0,25.0,9.0,17.0,0.26,0.55,,451.0,,,,2019,cgwb_2021.pdf,reported,False,measured,54.46,Good,Low,Low,wqi_band,False,7,High,NO3,0,0
,W200221073521101,Maharashtra,Nashik,NASHIK,Adgaon-1,20.0392,73.8697,2019,7.7,109.0,0.0,24.0,20.0,31.0,7.0,,56.0,14.0,5.0,12.0,0.21,0.6,,71.0,,,,2019,cgwb_2021.pdf,reported,False,measured,28.27,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
,SYN|Maharashtra|Nashik|Matori|20.054|73.743,Maharashtra,Nashik,NASHIK,Matori,20.0539,73.7425,2019,7.5,726.0,0.0,155.0,52.0,26.0,22.0,,247.0,25.0,44.0,9.0,3.72,0.96,,472.0,,,,2019,cgwb_2021.pdf,reported,True,measured,59.14,Good,Low,Low,wqi_band,False,7,High,F,1,0
,W201333074032901,Maharashtra,Nashik,CHANDVAD,Dhotarkheda,20.2258,74.0581,2019,7.9,821.0,0.0,30.0,77.0,33.0,37.0,,158.0,33.0,18.0,9.0,0.42,0.86,,534.0,,,,2019,cgwb_2021.pdf,reported,False,measured,67.58,Good,Low,Low,wqi_band,False,7,High,F,1,0
,SYN|Maharashtra|Nashik|Andarsul|20.001|74.592,Maharashtra,Nashik,YEVLA,Andarsul,20.0014,74.5917,2019,7.3,1933.0,0.0,155.0,177.0,11.0,14.0,,309.0,74.0,30.0,46.0,1.07,0.62,,1256.0,,,,2019,cgwb_2021.pdf,reported,True,measured,77.55,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W201015073590001,Maharashtra,Nashik,NIPHAD,Pimpalgaon Baswant,20.1708,73.9833,2019,7.4,1153.0,0.0,291.0,88.0,83.0,44.0,,311.0,90.0,21.0,86.0,1.31,0.41,,749.0,,,,2019,cgwb_2021.pdf,reported,False,measured,73.42,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,W195000074000001,Maharashtra,Nashik,SINNAR,Sinnar,19.8333,74.0,2019,7.5,1978.0,0.0,327.0,79.0,82.0,41.0,,367.0,78.0,41.0,53.0,0.98,0.61,,1286.0,,,,2019,cgwb_2021.pdf,reported,False,measured,94.39,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
,SYN|Maharashtra|Nashik|Raslapur|20.071|74.092,Maharashtra,Nashik,NIPHAD,Raslapur,20.0708,74.0917,2019,7.5,2865.0,0.0,743.0,231.0,116.0,47.0,,796.0,123.0,117.0,93.0,1.45,0.51,,1862.0,,,,2019,cgwb_2021.pdf,reported,True,measured,137.24,Poor,High,Medium,exceedance_override,True,7,High,TH,3,2
,W195715073313001,Maharashtra,Nashik,NASHIK,Trimbakeswar,19.9542,73.525,2019,7.5,539.0,0.0,65.0,25.0,111.0,42.0,,73.0,27.0,2.0,58.0,17.52,0.27,,350.0,,,,2019,cgwb_2021.pdf,reported,False,measured,49.63,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
,W200600073230001,Maharashtra,Nashik,PEINT,Harsul,20.1,73.3833,2019,7.5,507.0,0.0,125.0,51.0,11.0,41.0,,148.0,45.0,9.0,22.0,1.45,0.62,,330.0,,,,2019,cgwb_2021.pdf,reported,False,measured,51.63,Good,Low,Low,wqi_band,False,7,High,NO3,0,0
,W200248073482801,Maharashtra,Nashik,NASHIK,Mhasrul,20.0467,73.8078,2019,7.0,767.0,0.0,208.0,45.0,39.0,9.0,,153.0,27.0,21.0,32.0,10.52,0.49,,499.0,,,,2019,cgwb_2021.pdf,reported,False,measured,38.12,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
,W195300073270001,Maharashtra,Nashik,IGATPURI,Dahalewadi,19.8833,73.45,2019,7.4,279.0,0.0,30.0,21.0,13.0,33.0,,61.0,12.0,7.0,10.0,1.02,0.29,,181.0,,,,2019,cgwb_2021.pdf,reported,False,measured,32.42,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
,W195320073414501,Maharashtra,Nashik,NASHIK,Raigarh Nagar,19.8889,73.6958,2019,7.5,394.0,0.0,54.0,34.0,45.0,38.0,,98.0,8.0,19.0,19.0,2.62,0.2,,256.0,,,,2019,cgwb_2021.pdf,reported,False,measured,40.34,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
,W201800074070001,Maharashtra,Nashik,CHANDVAD,Sogras,20.3,74.1167,2019,7.5,395.0,0.0,36.0,27.0,14.0,46.0,,71.0,10.0,11.0,17.0,3.44,0.3,,257.0,,,,2019,cgwb_2021.pdf,reported,False,measured,41.91,Excellent,High,Low,exceedance_override,True,7,High,NO3,1,1
,W194300073380001,Maharashtra,Nashik,IGATPURI,Khambale,19.7167,73.6333,2019,7.7,463.0,0.0,65.0,45.0,23.0,27.0,,123.0,31.0,11.0,13.0,0.8,0.35,,301.0,,,,2019,cgwb_2021.pdf,reported,False,measured,41.68,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
742,W195400073490001,Maharashtra,Nashik,NASHIK,Deolali,19.9,73.81666667,2022,7.81,775.5,0.0,427.1,42.5,40.3,7.7,,350.0,56.1,51.0,41.7,2.6,0.43,,496.3,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,51.67,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
743,W200005074353001,Maharashtra,Nashik,YEVLA,Andarsul,20.00138889,74.59166667,2022,7.6,1421.0,0.0,366.1,187.9,105.6,85.8,,515.0,84.2,74.1,80.8,0.8,0.51,,909.4,2.0,,,2022,cgwb_2021.pdf,reported,False,derived,112.87,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
744,W201530074141501,Maharashtra,Nashik,CHANDVAD,Chandwad,20.25833333,74.2375,2022,7.36,1332.0,0.0,366.1,117.0,79.7,82.5,,385.0,62.1,55.9,96.6,13.5,0.33,,852.5,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,94.24,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
752,W201515073350601,Maharashtra,Nashik,PEINT,Karanjali,20.25416667,73.585,2022,7.92,578.2,0.0,225.8,46.1,33.0,24.8,,230.0,40.1,31.6,23.9,6.3,0.2,,370.0,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,46.97,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
753,W200600073230001,Maharashtra,Nashik,PEINT,Harsul,20.1,73.38333333,2022,8.05,442.9,0.0,183.1,35.5,23.0,2.9,,180.0,32.1,24.3,17.4,1.2,0.27,,283.5,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,34.91,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
754,W200248073482801,Maharashtra,Nashik,NASHIK,Mhasrul,20.03444444,73.80777778,2022,7.82,719.9,0.0,305.1,46.1,28.7,35.1,,265.0,44.1,37.7,31.6,9.4,0.32,,460.7,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,56.11,Good,Low,Low,wqi_band,False,7,High,NO3,1,0
755,W195300073270001,Maharashtra,Nashik,IGATPURI,Dahalewadi,19.88333333,73.45,2022,7.86,207.7,0.0,122.0,10.6,9.7,2.2,,105.0,22.0,12.2,7.5,0.4,0.18,,132.9,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,21.75,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
756,W195320073414501,Maharashtra,Nashik,NASHIK,Raigarh Nagar,19.88888889,73.69583333,2022,7.62,1028.0,0.0,335.6,159.5,26.0,10.9,,325.0,36.1,57.1,83.0,3.2,0.22,,657.9,4.0,,,2022,cgwb_2021.pdf,reported,False,derived,55.23,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
757,W201800074070001,Maharashtra,Nashik,CHANDVAD,Sogras,20.3,74.11666667,2022,7.71,1476.0,0.0,366.1,177.3,133.2,65.3,,510.0,62.1,86.3,81.7,23.3,0.28,,944.6,2.0,,,2022,cgwb_2021.pdf,reported,False,derived,103.69,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
758,W194300073380001,Maharashtra,Nashik,IGATPURI,Khambale,19.71666667,73.63333333,2022,8.03,438.6,0.0,231.9,21.3,14.0,3.9,,200.0,40.1,24.3,11.6,1.6,0.22,,280.7,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,33.56,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
759,W201537073303001,Maharashtra,Nashik,PEINT,Peinth,20.26027778,73.50833333,2022,7.68,870.7,0.0,244.1,117.0,55.4,17.5,,280.0,40.1,43.7,59.5,12.9,0.34,,557.2,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,56.4,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
760,W202127074274001,Maharashtra,Nashik,MALEGAON,Savargaon,20.3575,74.46111111,2022,7.7,2166.0,0.0,494.3,273.0,194.9,125.5,,550.0,60.1,97.2,187.3,59.4,0.69,,1386.2,2.0,,,2022,cgwb_2021.pdf,reported,False,derived,159.35,Poor,High,Medium,exceedance_override,True,7,High,NO3,4,1
768,W195858073481501,Maharashtra,Nashik,NASHIK,Nashik_city-II,19.98277778,73.80416667,2022,8.08,498.7,0.0,268.5,21.3,21.0,15.5,,235.0,48.1,27.9,19.4,2.2,0.4,,319.2,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,45.12,Excellent,Low,Low,wqi_band,False,7,High,pH,1,0
769,W200848073340601,Maharashtra,Nashik,PEINT,Pate,20.13444444,73.56833333,2022,7.98,292.8,0.0,152.6,14.2,15.7,15.0,,150.0,30.1,18.2,9.1,0.6,0.27,,187.4,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,33.75,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
770,W195720073364601,Maharashtra,Nashik,NASHIK,Wadholi,19.95555556,73.61277778,2022,7.92,521.7,0.0,201.4,28.4,36.5,7.6,,180.0,32.1,24.3,24.6,1.3,0.29,,333.9,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,38.11,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
771,W195445073540401,Maharashtra,Nashik,NASHIK,Shinde-1,19.9125,73.90111111,2022,7.69,1312.0,0.0,378.3,145.3,114.1,34.9,,445.0,70.1,65.6,84.3,0.6,0.57,,839.7,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,88.0,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
772,W195028074063501,Maharashtra,Nashik,SINNAR,Khopdi Bk,19.84111111,74.10972222,2022,8.02,2823.0,0.0,683.4,531.8,97.0,19.2,,850.0,84.2,155.5,221.0,8.8,0.66,,1806.7,5.0,,,2022,cgwb_2021.pdf,reported,False,derived,146.03,Poor,Medium,Medium,wqi_band,False,7,High,TDS,3,1
773,W194947074200801,Maharashtra,Nashik,SINNAR,Pathre Bk,19.82972222,74.33555556,2022,7.94,2791.0,0.0,622.4,404.1,153.5,153.6,,285.0,46.1,41.3,496.4,3.6,1.16,,1786.2,8.0,,,2022,cgwb_2021.pdf,reported,False,derived,186.79,Poor,High,Medium,exceedance_override,True,7,High,NO3,5,1
774,W194648074105601,Maharashtra,Nashik,SINNAR,Marhal Kh,19.78,74.18222222,2022,7.8,3756.0,0.0,390.5,925.2,86.4,110.0,,950.0,134.3,149.4,337.8,2.7,0.62,,2403.8,8.0,,,2022,cgwb_2021.pdf,reported,False,derived,218.58,Very Poor,High,High,wqi_band,False,7,High,TDS,4,3
775,W195222073525201,Maharashtra,Nashik,SINNAR,Wadgaon Pimpala,19.87277778,73.88111111,2022,7.9,836.3,0.0,299.0,60.3,50.5,52.4,,260.0,50.1,32.8,62.3,0.4,0.55,,535.2,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,72.55,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
776,W200221073521101,Maharashtra,Nashik,NASHIK,Adgaon-1,20.03916667,73.86972222,2022,7.95,751.0,0.0,323.4,31.9,37.8,10.7,,235.0,40.1,32.8,51.2,1.5,0.51,,480.6,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,50.39,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
745,W201015073590001,Maharashtra,Nashik,NIPHAD,Pimpalgaon Baswant,20.17083333,73.98333333,2022,7.58,1026.0,0.0,231.9,85.1,153.8,49.0,,375.0,70.1,48.6,60.2,1.1,0.48,,656.6,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,83.3,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
746,W195000074000001,Maharashtra,Nashik,SINNAR,Sinnar,19.83333333,74.0,2022,7.79,1893.0,0.0,561.4,187.9,140.3,83.1,,515.0,76.2,79.0,134.1,93.3,0.61,,1211.5,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,127.01,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
747,W200415074053001,Maharashtra,Nashik,NIPHAD,Raslapur,20.06694444,74.08333333,2022,7.67,2161.0,0.0,427.1,343.9,137.9,37.9,,460.0,64.1,72.9,207.7,36.2,0.6,,1383.0,4.0,,,2022,cgwb_2021.pdf,reported,False,derived,116.84,Poor,Medium,Medium,wqi_band,False,7,High,TDS,3,0
748,W195715073313001,Maharashtra,Nashik,NASHIK,Trimbakeswar,19.95416667,73.525,2022,7.87,465.5,0.0,201.4,42.5,23.9,4.9,,170.0,46.1,13.4,28.8,13.5,0.22,,297.9,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,33.47,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
749,W201200073490001,Maharashtra,Nashik,DINDORI,Dindori,20.2,73.81666667,2022,7.52,818.8,0.0,207.5,63.8,80.3,52.1,,300.0,56.1,38.9,26.5,0.5,0.25,,524.0,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,66.63,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
750,W194300074080001,Maharashtra,Nashik,SINNAR,Nandur Shirgate,19.71666667,74.13333333,2022,8.06,928.8,0.0,292.9,95.7,44.7,27.9,,260.0,50.1,32.8,66.3,5.9,0.38,,594.4,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,63.79,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
751,W201036073420001,Maharashtra,Nashik,DINDORI,Nalegaon,20.17666667,73.7,2022,7.97,370.5,0.0,183.1,14.2,30.0,4.2,,175.0,36.1,20.7,11.9,1.2,0.3,,237.1,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,33.22,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
784,W203200074413001,Maharashtra,Nashik,MALEGAON,Dahiwal,20.53333333,74.69166667,2022,7.93,741.1,0.0,146.4,134.7,74.7,11.1,,240.0,42.1,32.8,65.6,2.3,0.35,,474.3,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,54.7,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
785,W203800074241501,Maharashtra,Nashik,MALEGAON,Ravalgaon,20.63333333,74.40416667,2022,7.94,1078.0,0.0,366.1,92.2,91.8,6.8,,395.0,62.1,58.3,56.7,3.7,0.35,,689.9,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,64.53,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
786,W203600074121501,Maharashtra,Nashik,BAGLAN,Satana,20.6,74.20416667,2022,8.15,2135.0,0.0,671.2,223.3,93.9,83.3,,430.0,72.1,60.8,272.9,7.3,0.6,,1366.4,14.0,,,2022,cgwb_2021.pdf,reported,False,derived,130.04,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
787,W203800074323001,Maharashtra,Nashik,MALEGAON,Karanjagavan,20.63333333,74.54166667,2022,7.96,1398.0,0.0,488.2,127.6,78.1,50.7,,280.0,34.1,47.4,150.5,54.5,0.43,,894.7,2.0,,,2022,cgwb_2021.pdf,reported,False,derived,86.64,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
788,W200350074064001,Maharashtra,Nashik,NIPHAD,Jalgaon,20.06388889,74.11111111,2022,8.21,4638.0,0.0,915.3,833.1,341.4,116.9,,645.0,108.2,91.1,726.8,3.0,0.71,,2968.3,8.0,,,2022,cgwb_2021.pdf,reported,False,derived,247.36,Very Poor,High,High,wqi_band,False,7,High,TDS,5,3
789,W200500073400001,Maharashtra,Nashik,NASHIK,Gangawadi,20.08333333,73.66666667,2022,8.02,532.9,0.0,219.7,39.0,30.0,3.0,,220.0,36.1,31.6,18.1,0.7,0.39,,341.1,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,40.74,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
790,W200410073315001,Maharashtra,Nashik,NASHIK,Kone,20.06944444,73.53055556,2022,7.99,604.9,0.0,225.8,39.0,42.5,30.0,,245.0,40.1,35.2,26.2,0.6,0.35,,387.1,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,54.03,Good,Low,Low,wqi_band,False,7,High,NO3,1,0
791,W203230073493801,Maharashtra,Nashik,KALWAN,Dalwat,20.54166667,73.82722222,2022,8.06,374.7,0.0,177.0,21.3,26.0,10.3,,175.0,36.1,20.7,11.9,0.7,0.29,,239.8,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,36.54,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
792,W202648073460301,Maharashtra,Nashik,SURGANA,Ghagbari,20.44666667,73.7675,2022,7.94,871.8,0.0,213.6,95.7,58.9,60.4,,280.0,38.1,45.0,28.9,51.8,0.26,,558.0,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,74.47,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
761,W201215073404501,Maharashtra,Nashik,DINDORI,Chachadgaon,20.20416667,73.67916667,2022,7.74,395.4,0.0,207.5,17.7,12.5,29.3,,195.0,46.1,19.4,11.6,11.0,0.36,,253.1,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,42.47,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
762,W200430073364501,Maharashtra,Nashik,NASHIK,Dhundegaon,20.0675,73.6125,2022,7.9,448.1,0.0,219.7,14.2,16.3,14.5,,165.0,36.1,18.2,23.7,1.1,0.38,,286.8,0.0,,,2022,cgwb_2021.pdf,reported,False,derived,38.34,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
763,W195041074050001,Maharashtra,Nashik,SINNAR,Baragaon Pimpri,19.84472222,74.08333333,2022,7.61,1210.0,0.0,274.6,120.5,81.4,118.8,,440.0,60.1,70.5,82.6,1.3,0.57,,774.4,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,116.1,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
764,W194624074050501,Maharashtra,Nashik,SINNAR,Malwadi-1,19.77333333,74.08472222,2022,7.02,1891.0,0.0,250.2,390.0,90.9,103.4,,700.0,136.3,87.5,105.7,0.6,1.08,,1210.2,3.0,,,2022,cgwb_2021.pdf,reported,False,derived,148.6,Poor,High,Medium,exceedance_override,True,7,High,TH,5,2
765,W200228074280601,Maharashtra,Nashik,YEVLA,Angangaon,20.03388889,74.46833333,2022,8.02,1372.0,0.0,323.4,138.3,106.6,54.8,,285.0,44.1,42.5,106.2,56.9,0.66,,878.1,1.0,,,2022,cgwb_2021.pdf,reported,False,derived,95.46,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
